	w	g	rdiv	ldiv
233	a2**-2*a4*a1*a2**2	a2**-2*a3**2*a4	True	False
234	a3**-2*a4*a1*a3**2	a3**-2*a4*a2**2	True	False
235	a3*a4**-1*a2*a4	a3**2*a4**-1*a1*a2	False	False
236	a3**2*a4**-1*a2**2*a4	a3**2*a4**-1*a1*a2	False	False
237	a2**-1*a3*a4*a2*a4**-1*a2	a2**-1*a3*a4*a1**-1*a3	True	False
238	a2**-1*a3*a4**-1*a2*a4*a2	a2**-1*a3*a4**-1*a1*a3	True	False
239	a3*a4**-1*a2*a4	a3*a4**-1*a1*a2**2	False	False
240	a3**2*a4**-1*a2**2*a4	a3*a4**-1*a1*a2**2	False	False
241	a4**-1*a2**-1*a4*a1*a2*a4	a3*a4**-1*a2**-1*a4*a1	True	False
242	a1**-1*a3**-1*a4*a1*a3*a1	a1**-1*a3**-1*a4*a2*a4	True	False
243	a3*a4**-2*a2*a4**2	a3*a4**-2*a1**2	True	False
244	a4*a5**-2*a1*a5**2	a4*a0**2*a5**-2	True	False
245	a4*a1	a4*a1*a4*a1*a4	False	False
246	a4*a1*a4*a1	a4*a1*a4*a1*a4	False	False
247	a4*a1*a4*a1*a4*a1	a4*a1*a4*a1*a4	False	False
248	a3**-1*a4*a5**-1*a1*a5*a3	a3**-1*a4*a0*a5**-1*a2	True	False
249	a3**-1*a4*a1*a3	a3**-1*a4*a1*a4*a2	False	False
250	a3**-1*a4*a1*a4*a1*a3	a3**-1*a4*a1*a4*a2	False	False
251	a3**-1*a4*a5*a1*a5**-1*a3	a3**-1*a4*a0**-1*a5*a2	True	False
252	a4*a5**-1*a1*a5	a4*a5**-1*a1*a4*a0	False	False
253	a4*a5**-1*a1*a4*a1*a5	a4*a5**-1*a1*a4*a0	False	False
